ADMIN|FAIL|2019-10-28 12:51:08|3004|BAD|123.201.100.156|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 12:51:08|3002|BAD|123.201.100.156|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 13:02:36|3004|BAD|123.201.100.156|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 14:20:53|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-28 15:46:31|9898|BAD|203.110.90.230|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 09:04:01|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 09:04:17|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 09:49:35|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 09:49:49|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 09:50:05|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
ADMIN|FAIL|2019-10-29 09:50:20|3004|BAD|27.106.39.86|Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36|
